hoek , punt
slakom , ding
kruiskop , blok
rooien , opgraven
instaan , meedelen
vreemdelingenpolitie , prinsemarij
voetafdruk , pasje
bevlogenheid , begeestering
Jamaicaan , onderdaan
menseneter , wilde
concurrentieslag , slag
handdoek , gereedschap
heffing , last
ziekte van Newcastle , dierenziekte
reisapotheek , bouwpakket
overstromingsgevaar , onraad
winnen , scheppen
publikatie , verrichting
pruimen , malen
talent , connaisseur
waarnemen , beleven
duivelswerk , werk
beroerte , bloeding
zilver , insigne
verhanging , versiering
inhaleren , aanzuigen
deemoed , ingetogenheid
bokken , voordringen
alpinomuts , pet
pin , bewijsstuk
uitwuiven , wuiven
lof , taaluiting
landpunt , verheffing
gezinshereniging , conjunctie
Centaur , constellatie
genoegen , genoegen
ridder , lid
dot , ding
mededingen , bekvechten
behandeling , debat
inrichten , werken
zangwedstrijd , match
slagzwaard , zwaard
pastiche , kunstvoorwerp
kunstsmeedwerk , strijkijzer
textielfabriek , papierfabriek
boa , wurgslang
berber , karpet
rattenkop , lichaamsdeel
houthandel , werkplaats
schildpad , reptielen
importeur , zakenman
geus , gereedschap
evangelie , geloofsovertuiging
strengheid , attitude
toelating , entree
Wodehouse , schrijfster
straatjongen , jongeling
onderlip , grote bek
neigen , buigen
exhibitionisme , neiging
integriteit , degelijkheid
dyspneu , symptoom
trap , element
sublimatie , omzetting
jochie , gozer
kankeraar , oudere
flipper , oor
doodslag , mortificatie
opkrikken , veranderen
afronden , vormen
jagen , drijven
kwalificeren , benoemen
tele , fotografie
aanraking , toestand
Urologie , medicijnen
nettoloon , gage
vrouw , tante
zuidzuidwesten , kompasrichting
bekennen , oordelen
bodemerosie , bodemerosie
Maleisiër , onderdaan
fiche , betaalmiddel
decimeren , doden
aanduiden , betekenen
bonsai , boom
gemachtigde , manager
giek , hefboom
background , uitzicht
waterhond , vogelhond
schermmeester , strijder
afpeuteren , trekken
laurier , boom
soldeerbout , handgereedschap
brommen , wonen
séjour , verrichting
rachitis , vitaminegebrek
gekscheren , bespotten
haar , gedeelte
omlopen , leiden
gesticuleren , seinen
quote , excerpt
afleiding , verrichting
rugbyen , spelen
opstal , goed
groepering , groep
afghaan , karpet
racen , voortbewegen
schotschrift , publikatie
samendrukken , persen
smeerder , straatjongen
Ilias , heldenepos
klusjesman , klusjesman
eindspurt , sprint
voorschrift , bepaling
skipiste , baan
terracotta , leem
crusher , apparaat
spaak , stut
knol , ros
hoofdkraan , tapkraan
herdruk , publikatie
aanschuiven , douwen
Shetlandeilanden , eilandenrijk
gelijkstelling , vaststelling
telegraferen , versturen
hemelbed , meubilair
dierenambulance , ziekenwagen
naaizakje , container
herkennen , voelen
voorgevoel , voorgevoel
reliekhouder , container
tippen , adviseren
liftkooi , vak
emplooi , toestand
sabbatical , sabbatical
bovenbuur , gebuur
staal , kwantiteit
babydoll , onderkledingstuk
leerplicht , plicht
soleren , vliegen
jodenhaat , racisme
bronstijd , periode
traject , gedeelte
happen , reageren
lustoord , plaats
kippengaas , vangnet
protest , reactie
Openbaring , boek
griezel , beweging
optelfout , rekenfout
tuniek , bloes
woonkamer , kamer
lithium , metaal
herinnering , faculteit
voorliegen , belazeren
hakmes , mes
aanduiden , opteren
hypotheekhouder , crediteur
voetlicht , licht
katenspek , vleeswaren
farizeeër , Hebreeërs
biotiet , vislijm
thuiskomen , overspringen
hamer en sikkel , allegorie
afschermen , preserveren
inzending , versterving
schoenlepel , ding
voorkeurstem , votum
hongersnood , tragedie
registreren , typen
delicatessenwinkel , zaak
breidelen , afremmen
lengte , hoogte
onderpand , waarborg
sok , kousje
raglanmouw , hoes
stereotype , typering
investeren , toepassen
vastzitten , moeten
spatie , tussenruimte
loswringen , knijpen
opwinden , opwinden
hof , leefwereld
pathefoon , platenspeler
toevoerkanaal , voer
natuurbeheer , management
loonpauze , stop
saus , verf
uithongeren , leiden
nanotechnologie , technologie
Kolossus van Rodos , standbeeld
midrasj , commentaar
boeien , boei
opdragen , zakken
symmetrie , evenwicht
stuksmijten , kapotmaken
rolmodel , meesteres
ijver , ijver
builenpest , pest
toiletpapier , zijdepapier
omen , prefiguratie
gunnen , toemeten
oriënteren , veranderen
nervus abducens , hersenzenuw
sedimentatie , afzetting
strooien , flikkeren
idealiseren , houden
latexverf , verf
tros , stel
arbiter , staatsambtenaar
resonator , circuit
lendenstuk , vlees
wandelen , overspringen
versterking , gedeelte
huisbewaarder , opziener
mondwater , oplossing
westerstorm , wind
innemen , veranderen
zenuwcel , somatische cel
party , bezigheid
spreiding , spreiding
schelpdier , weekdier
topontmoeting , ontmoeting
blokfluit , bas
laarzenstrop , riem
gebiedende wijs , wijs
piste , baan
verzengen , opdrogen
hakkebord , hekwerk
Tibetaans , taal
scène , mot
gebiedsdeel , gedeelte
veulen , jongeling
rijksgenoot , ingezetene
schoenspijker , nagel
bekronen , afronden
boffen , slagen
minaret , toren
spektakelstuk , toneelspel
schietspoel , klos
vredesactivist , actievoerder
helper , helpster
arceren , voeden
vissoep , gerecht
lijmpers , sluiting
concertpianist , instrumentist
perfectioneren , veranderen
studiekosten , prijs
luchtkoker , pijp
verfstof , kleurstof
kompel , arbeider
verlossing , verrichting
voordracht , meeting
rijm , versbouw
capibara , knaagdier
ingewanden , gedeelte
biologie , wetenschap
klimmen , overspringen
insigne , prijs
levensruimte , ruimte
poelsnip , watervogel
deus ex machina , redder
wildebras , snoever
lakzegel , afdruk
sonde , teller
homeopaat , pil
etherreclame , salespromotion
spankracht , macht
timen , kwantificeren
drinkwaterbedrijf , bedrijf
compliciteit , schuldgevoel
fiscus , regering
er achter komen , begrijpen
helderheid , hoedanigheid
sneeuwploeg , bemanning
trommel , blik
ontgoochelen , beschamen
ontnuchtering , heling
bedreiging , verklaring
vegetarisch , eter
smeerleverworst , worst
huilbui , fithaak
two-seater , auto
honger , behoefte
ingaan , verklaren
carré , rechthoek
tranen , afscheiden
standje , houding
afdwalen , verplaatsen
Andrew , Sint
Romeins cijfer , telwoord
smokkelaar , vogelvrije
neergooien , flikkeren
fossiel , overblijfselen
verzelfstandiging , alteratie
valbijl , apparaat
quadrille , onderzoeking
toestoppen , geven
vrouwelijkheid , karaktertrek
leesplank , plank
klep , taalgebruiker
flapoor , oor
Hakeem , moslim
galgenmaal , maal
muizenval , val
fiedelen , spelen
Romeo , schattebout
autoriseren , bepalen
gewone klaproos , papaver
verkeersinfarct , opstopping
valsemunterij , oplichterij
heugen , onthouden
overheadprojector , projectieapparaat
barkruk , zitmeubel
bromelia , organisme
fenomeen , verschijnsel
kracht , uitwerking
werkverschaffing , werk
uitsterven , verdwijnen
kielbalk , bint
grofsmederij , werkplaats
kits , zeilschip
brievenbesteller , boodschappenjongen
lijden , ondergaan
frauderen , belazeren
bemoeien , bezighouden
theodicee , theologie
piepen , kankeren
opstoken , branden
skilift , lift
fluistercampagne , campagne
verregenen , verhinderen
speelkameraad , kameraad
acht , team
communicatie , domein
scheuren , doorscheuren
ridderen , renumereren
moederbedrijf , vennootschap
bepaling , woordgroep
consumentenprijsindex , prijsindex
blok , ding
persoon , mens
voorbehoud , restrictie
onzin , onzin
uitkristalliseren , kristalliseren
erts , delfstof
rem , beweging
touw , lijn
aanvaring , accident
Maracay , moederstad
ammunitie , installatie
meristeem , celweefsel
zwanedons , dons
opwinden , trekken
kouten , aantonen
winstbejag , streven
dijharnas , gedeelte
verzilveren , omwisselen
kwijtschelden , assisteren
masker , gedierte
binnenslepen , voortbewegen
Pers , onderdaan
familierelatie , relatie
schrede , pasje
regenzone , zone
staartdeling , exercitie
destabiliseren , verwarren
beddengoed , kleed
sjanghaaien , kidnappen
financieringsmaatschappij , maatschappij
verkiezingsbelofte , toezegging
Bristol , havenstad
charmeur , pief
eyecatcher , het wezen
kwartje , muntstuk
afsluiten , dichtdoen
recordaantal , kwantiteit
omgaan , zakken
duidelijkheid , zichtbaarheid
sprankelen , verspreiden
bezetten , werken
schisma , scheiding
presentatie , voordracht
schurk , persona non grata
stuurslot , sluiting
bedienen , assisteren
speldenkussen , kussen
den , conifeer
bestendigheid , kwaliteit
neptunium , metaal
tenderen , tenderen
ontmenselijken , keren
uitbenen , wegnemen
voorhoofdsholte , holte
tantaal , metaal
band , reep
vulpen , pen
aflopen , wandelen
steentje , kiezelzuur
priesteres , pater
wegnemen , beetpakken
vergadering , groep
Barbuda , enclave
behandelaar , manager
maatschappij , vennootschap
villa , woongedeelte
iteratief , aspect
deltavliegen , vliegen
landbouwbedrijf , boerenhofstede
slaapzaal , slaapkamer
doorgangskamp , concentratiekamp
posten , nagaan
Sanmarinees , onderdaan
Armeens , Indogermaans
taai , cake
ontvreemden , beetpakken
feromoon , uitscheiding
chanteur , overtreder
thuishaven , zeehaven
herverdelen , toemeten
Afghaan , onderdaan
verpleegkosten , prijs
zonnebad , verrichting
herkomst , kruispunt
aanzwengelen , werken
aanwakkeren , branden
eindbedrag , geldsom
dromen , ondervinden
plaatsaanwijzer , functionaris
barrière , ballast
web , net
dysfemisme , gezegde
mensaap , buitenbeentje
deegwaren , levensmiddelen
ijzersmelterij , gieterij
poliopatiënt , zieke
vroegmis , mis
ondedisciplineerdheid , karaktertrek
barak , constructie
voorouder , voorouder
Calvados , brandy
vlam , brand
reumapatiënt , zieke
migrant , kracht
achteroverslaan , drinken
er is een , religieuze
Sindhi , Indische taal
uitschot , gepeupel
afwijzen , doen
staatsbegrafenis , rouwdienst
dubbelzout , zout
reformeren , veranderen
plagen , gewelddadigheid
spelmaker , beoefenaar
nazenden , doorgeven
duwen , douwen
waterspreeuw , zangvogel
drogist , zaak
gebak , traktatie
staatsmijn , groeve
heffen , bevelen
hobbelpaard , speeltje
boerderij , boerenhofstede
richtprijs , prijs
bezitter , figuur
vergaderzaal , kamer
Brezjnev , staatsman
croque-monsieur , schijf
paleoklimatologie , archeologie
bibs , gedeelte
bolknak , handelsartikel
manillahennep , banaan
bovenlijf , gedeelte
platbodem , kiel
verschuiving , alteratie
jenever , alcohol
afbrekende kritiek , commentaar
vetzuur , zuur
oplossen , berekenen
orka , meerboei
bondsbons , bobo
waterweg , water
kaalgeknipt , plaaggeest
binding , connectie
voorgaan , verplaatsen
recensent , figuur
beademen , verzorgen
klit , korenaar
serologie , artsenijleer
anorak , jack
televisiebewerking , bewerking
leesmachine , gedeelte
keten , ketting
schildwacht , wachter
palpatie , proef
tactiek , plan de campagne
methaan , alkaan
samenloop , gelegenheid
verstaan , horen
lijstaanvoerder , meesteres
bovenarm , gedeelte
Ignatius , Sint
knoert , flinkerd
dreggen , zoeken
verminking , laesie
intensivering , periodiek
lessenaar , stellage
kernraket , A-bom
scanderen , declameren
flonkeren , verspreiden
antiek , ding
voedseltekort , imperfectie
vertrouwensarts , pil
stempel , automobiel
flessenhals , gedeelte
fuut , vogeltje
verdikken , keren
wijnsoort , druivenat
verlossen , assisteren
wetsovertreder , overtreder
staalborstel , stoffer
omlopen , wandelen
boekenbeurs , beurs
motregenen , zakken
oorspronkelijkheid , luciditeit
uitsluiten , verhinderen
ernst , ernst
wederkomst , komst
lidwoord , bepaling
macadamianoot , macadamia
verzendkosten , prijs
buurthuiswerk , maatschappelijk werk
terugspringen , zwiepen
tegenspoed , rampspoed
aristocraat , meesteres
dualisme , wijsbegeerte
lesmateriaal , materiaal
cognac , alcohol
afpersen , bedreigen
minnares , lieveling
vijzel , ding
slachtkuiken , bakoven
beek , water
rivierstelsel , net
opflikkeren , verplaatsen
bleekgezicht , mens
glasdraad , garen
klasse , taxon
accelereren , versnellen
uitloop , duur
ritmiek , hoedanigheid
zwijggeld , steekpenningen
aftekenen , tonen
droombeeld , gedachte
televisiedominee , predikant
hoeven , voorkomen
damp , mixture
oorpijn , pijn
vetzucht , vetheid
foundation , ondergoed
domein , kennisbank
arrangeren , toonzetten
verordening , ordonnantie
schorseneer , organisme
plichtsbesef , vaardigheid
ecologie , wetenschap
sjouwen , beulen
romanist , linguïst
kroes , mok
aandraaien , frapperen
compositie , woord
winterweer , weer
tarief , prijs
magneetinductie , veldsterkte
aanrecht , tafel
importeur , figuur
gehoorgang , buis
gardist , krijgsman
ontvluchten , knijpen
aardwolf , hyena
overtrek , bekleding
terugfluiten , onderbreken
zinkoxyde , oxiden
marxisme-leninisme , communisme
millimeteren , knippen
scheerapparaat , scheermes
bekloppen , tikken
echtgenote , tante
praatpaal , deelgenoot
pruttelen , mopperen
top , spits
hedjra , ontsnapping
slaan , inspannen
koraal , holtedier
distinctie , karakter
revolutionair , guerrillastrijder
bijscholen , scholen
bolkop , figuur
aantrekken , zetten
streek , poets
meten , container
moeien , toestaan
flens , uitsteeksel
ensemble , object
loting , vaststelling
dekkleed , beddedeken
markeren , veranderen
vasthechten , veranderen
rijpaard , ros
voorpoot , lichaamsdeel
bul , mannetjesdier
verloving , toezegging
leg , gedrag
strontje , abces
Indiaanse , ingezetene
ironiseren , bespotten
foor , groep
rimpeling , golf
overdoen , verkopen
psychodrama , spel
pretpark , gewoon
neuroloog , specialist
monkelen , lachen
vleugel , area
rechterarm , arm
teelt , produktie
betweter , egotripper
franje , vederbos
tornen , tenietdoen
voorhouden , confronteren
wraken , tegenspreken
krop , aandoening
beo , vogeltje
onderaannemer , uitvoerder
ton , honderdduizend Indisch geld
beuren , beërven
brood , baksel
onderwerk , draagconstructie
witspeler , figuur
klaarheid , hoedanigheid
sponzen , ongewervelde
separatist , voorvechter
noemer , deler
wissel , gedeelte
klokken , uitklinken
shandy , drankje
schuimsteen , druipsteen
brons , insigne
computerscherm , televisiescherm
startschot , schot
Google , zoekmachine
gerammel , geratel
voortschrijden , schrijden
berggeit , mannetjesdier
slimheid , attitude
ecarté , kaartspel
petitfour , cake
Vanadiniet , delfstof
taalgeschiedenis , linguïstiek
muntstuk , geldspecie
zandkorrel , vuiltje
terugdraaien , intrekken
paddock , grasperk
babbelaar , taalgebruiker
helpen , helpen
gebod , dictee
kast , overtrek
chinezen , scoren
werkeloosheid , toestand
herkennen , onthouden
dagverblijf , zaal
liga , verdrag
insteekkamertje , balkon
cantor , voorganger
aristocraat , edelvrouw
wereldstekker , apparaat
metallurg , technicus
spijtoptant , figuur
mortier , ding
beursbericht , bericht
omhelzing , omklemmen
kooi , afzetting
krokodil , reptielen
pon , lingerie
aardnoot , peul
overvragen , vragen
afvegen , zuiveren
treden , overspringen
Garrick , Histrion
ronddolen , reizen
betrekkelijkheid , gewichtigheid
telexbericht , bericht
lafaard , lafaard
losse ablatief , zinsdeel
dol , steunpunt
koolwaterstof , organische verbinding
verveelvoudigen , amplificeren
vormen , veranderen
omtrek , omtrek
siliconenkit , gom
remedie , medicijn
wetsontwerp , mededeling
voetbal , sportartikel
ploertenstreek , poets
staathuishoudkunde , wetenschap
duimschroef , bout
premieheffing , heffing
binnenbaan , baan
najagen , drijven
roddelaar , halvezool
bestendigheid , duurzaamheid
dooreenweven , verdraaien
staatsveiligheid , veiligheid
prijzen , bepalen
doodskop , bewerken
varenblad , gebladerte
bleekaarde , slijk
zoeken , speuren
kroon , bovenkant
inhuldigen , assimileren
improviseren , doen
histamine , amine
textiel , materie
inschalen , klasseren
insolvabiliteit , hoedanigheid
Joss , god
pand , overslag
diapositief , prent
rijksdag , parlement
bezetten , toe-eigenen
basbazuin , schuiftrombone
moduleren , variëren
braken , kwalsteren
bierglas , glas
klager , zeikstraal
Hippocrates , medicus
tekengerei , gereedschap
afpoeieren , sturen
adaptatie , alteratie
nacht , periode
test , pot
oké , steunbetuiging
ontpoppen , uitgroeien
uitslaan , slaan
afvallen , overvloeien
schroef , hellend vlak
gardenia , struik
avonturenfilm , rolprent
gram , gemoedsbeweging
Arabier , acoliet
koelvloeistof , middel
uitdoen , strijken
fluoriet , delfstof
misrekenen , de hersens inspannen
slachterij , vennootschap
welkomstgroet , ontvangst
rug , lichaamsdeel
zwaaien , bewegen
pleiten , expliceren
palpatie , beroering
herbenoemen , benoemen
brulboei , jongeling
koningin , wederhelft
vat , ton
hechten , treden
leesplezier , gemoedsbeweging
hazelaarshout , hout
schuurdeur , roldeur
knokpartij , gevecht
brengen , veranderen
veld , veld
beren , gillen
West-Samoaan , onderdaan
invullen , realiseren
aankomen , overspringen
pigmentvlek , plek
lokstof , voer
verpanden , schuldig zijn
ordner , boekomslag
elektricien , vakman
zon , sterretje
tussenvoegsel , affix
reclametekst , taal
fluisteraar , taalgebruiker
waterpolitie , prinsemarij
halsdoek , hoofddoek
ode , lyriek
afbranden , zuiveren
clubhuis , constructie
gambiet , opening
berenburg , alcohol
oculairlens , lens
reclasseringsambtenaar , staatsdienaar
klampen , beethouden
dipsaus , onbeleefde opmerkingen
hernieuwbare natuurlijke hulpbronnen , natuurlijke hulpbronnen
zwelgen , opgaan
naald , naald
opwarmen , leiden
zich begeven , verplaatsen
promotie , klas
Andamanse Zee , inham
gevaar , risico
abc , geschrift
kraak , bijklank
parelbank , zeebank
opdissen , vertellen
brouwer , maker
vergoeding , vergoeding
behagen , geven
incest , lijfsgemeenschap
management , management
vocaal , geluid
uitzetten , verspreiden
afgeleid woord , woord
urinezuur , zuur
katheder , kansel
blondje , tante
heiligavond , periode
soldatentaal , boeventaal
damast , doek
benzedrine , genotmiddel
gelidbeentje , bot
noodgang , vaart
verspreiden boven , uitbreiden
miljoenenschade , schade
keuvelen , aantonen
personificatie , figuur
schokker , vissersschip
snik , inademing
bluswater , zoetwater
fermentatieproces , proces
oproepen , veranderen
kruiswoordpuzzel , raadsel
leerlingwezen , onderricht
Qabala , geheim
neerslag , weer
kaalslag , sloop
levensgenieter , figuur
vaderbeeld , gedachte
inpakken , aankleden
salonboot , passagiersboot
toetakelen , aankleden
uitgaan , entertainen
vereerder , vereerder
foulard , das
slimmerik , dader
broodtrommel , blik
torn , kier
huursubsidie , disconto
verwedden , kwijtraken
invoeren , overschakelen
racisme , bevooroordelen
turkoois , delfstof
bioritme , cadans
consumentenelektronica , uitrusting
declameren , doen
platmaken , doodskop
lanoline , crème
maretak , heterofiet
vastvriezen , keren
kaste , geleding
pulli , pull-over
kinderarts , specialist
shot , opname
sportwereld , groep
lobbyen , beïnvloeden
koortsaanval , temperatuur
tegenargument , bewijsgrond
reclamecampagne , campagne
transformatie , afbeelding
aankondigen , beginnen
verviervoudigen , opzetten
endocrinologie , medicijnen
solo , bezigheid
troonsopvolger , koningszoon
Wurlitzer , zakenman
gruzelementen , verzameling
dringen , douwen
opwinden , voelen
inschrijvingsformulier , formulier
eoliet , rots
zuipen , drinken
glazenspoeler , loontrekker
alpineskiën , glijden
zondagsdienst , plicht
overzien , tonen
bijpleisteren , lappen
lerarenkorps , korps
gehamer , geluid
calvinist , acoliet
verzamelen , elkaar
kamermeisje , maagd
rondzwerven , wandelen
naroepen , roepen
etymoloog , lexicoloog
dispositie , gedrag
uitzagen , voortbewegen
stut , ding
zondeloosheid , onfeilbaarheid
flammé , textiel
afblijven , laten
ganzenbord , spelletje
vormsel , sacrament
sluizen , navigeren
balsemen , bedekken
glazenkast , bergkast
verzuimen , wegblijven
klepperen , uitklinken
gezwam , samenspraak
behouden , houden
zadel , zitting
lochia , lichaamsvloeistof
pendelen , reis
veen , landen
postelein , kruid
bermudashort , bermuda
dodenherdenking , herdenking
pantseren , preserveren
motor , motor
moeten , voelen
preutsheid , ingetogenheid
ketenen , verbinden
keu , sportartikel
voetplaat , verhoging
vlooteenheid , legerafdeling
conventie , samenzijn
caput , gedeelte
bocht , druivenat
splintergroep , deel
monument , bouwwerk
Wiesbaden , kuuroord
gezegde , woordgroep
Rabat , doek
kamwiel , stuur
eiser , verzoeker
hooiwagen , gedierte
Rushdie , schrijfster
gemberbier , drank
ammoniet , fossiel
failliet , val
hol , hol
wereldwinkel , instelling
STRAD , fiedel
introspectie , onderzoek
corrector , loontrekker
vrijmetselaar , lid
intoxicatie , ziekte
publiekrecht , bestel
Xian , moederstad
Steinbok , antilope
immigratiedienst , wegrestaurant
aanprijzing , het wezen
knikken , overtreden
oriënteringsvermogen , gevoel
rijkelui , elite
sonoriteit , timbre
boekentas , zak
koffiemolen , molentje
schoenmaakster , schepper
drugsverslaafde , verslaafde
archeoloog , antropoloog
toejuichen , eren
psycholoog , connaisseur
houtlijm , gom
fluctuatie , verplaatsing
sambal , smaakmaker
fnuiken , breidelen
ballenjongen , gozer
ananas , vrucht
staking , beëindiging
omspelen , dribbelen
kunstschilder , kunstenaar
bewonderen , kijken
liguster , struik
iconografie , prent
zweven , verplaatsen
doseren , bepalen
winterschilder , schilder
staf , leiding
schiettent , kermistent
Boraginaceae , plantenfamilie
iris , organisme
wegwerpaansteker , aansteker
ontvoogden , assisteren
deugniet , aap
drukken , konterfeiten
tewerkstelling , proces
figurant , figuur
huiselijkheid , behaaglijkheid
balletdanser , danser
drukvat , vat
overdaad , kwantiteit
kilt , rok
Algerijn , onderdaan
eliminatie , scheiding
slokop , paling
lijstenmaker , schepper
vloei , zijdepapier
kas , holte
nageboorte , placenta
kroongetuige , getuige
koddigheid , daad
afremmen , beteugelen
liefdadigheid , stichting
bezit , immobilia
benen , lidmaat
derangeren , verhinderen
pluimstaart , vederbos
kwaliteitsnorm , criterium
gat , gat
bandopname , opname
serenade , toonzetting
noodstop , stop
vruchtenhagel , papier
oplichterij , overwinnen
snauwen , aantonen
hamerhaai , haai
snottebel , snotaap
slotakkoord , klanken
ontvouwen , tenietdoen
vliegtuigbemanning , bemanning
omhoogvallen , vooruitkomen
congregatie , vereniging
cokes , steenkolen
volksopstand , revolte
rek , ding
sluitspier , spier
verzorgen , werken
luitenant , drankje
bief , vlees
radon , edelgas
euphonium , sousafoon
pensioenvoorziening , voorziening
onrust , aardverschuiving
T-kruising , aansluiting
overschrijving , betaling
biologische wapen , massavernietigingswapen
Slavonië , regio
laarzeknecht , apparaat
annotatie , adjunctie
charteren , zetten
niet overdekte tribuneplaats , tribune
winkelwagen , skelter
kolonisatie , vestiging
pollepel , soeplepel
Guam , enclave
tekenbord , plaat
opstaan , bewegen
roomkwark , kaas
orthosympatisch zenuwstelsel , zenuwgestel
bef , volant
koepel , landhuis
natuurijs , oppervlak
lerarenopleiding , opleiding
jong , giraf(fe)
eugenetiek , levenswetenschappen
Medline , telefoonnet
Abchazië , provincie
douwen , schuiven
vuilniswagen , truck
niets , cijfer
toerekenen , meedelen
aflezen , bepalen
speelzaal , zaal
siroop , siroop
spoiler , ding
Overzicht , aperçu
falsificeren , staven
soortnaam , eigennaam
asparagus , bloem
vrachtschip , vrachtschip
vrijhouden , laten
stop , restrictie
flap , kaft
rantsoen , tantième
baron , zakenman
uitkoken , leeglopen
tafelbiljart , tafel
mijden , pogen
volksverhaal , vertellen
blaasmuziek , muziek
gipsplaat , wandplaat
luier , onderkledingstuk
Gent , moederstad
regeringsbeleid , regering
Koerd , Azische
rekenwonder , hoogvlieger
Sino-Tibetaanse taal , natuurlijke taal
verluchting , verheffing
kader , kader
sturen , bedienen
aceton , medium
vormen , bewerken
zak , ding
verfrissing , drankje
paardestaart , kapsel
informaliteit , modus
opfleuren , veranderen
gok , lichaamsdeel
koek , koekje
vrouw , wederhelft
overgrootmoeder , mam
wringer , apparaat
weigering , neen
Amerikaanse Maagdeneilanden , bezetenheid
beloning , betaling
wetgeving , bestel
waterlander , druppel
scrabble , woordenspel
waardigheid , status
mocassin , mocassin
spitskool , kool
scheepsarts , pil
samenhang , vereniging
onveiligheid , angst
pasteurisatie , sterilisatie
depersonaliseren , veranderen
lotion , toiletartikelen
afstempelen , tonen
karren , overspringen
centraliseren , voortbewegen
baars , vis
opnemen , zuiveren
kunstzwemmen , overspringen
taalgemeenschap , bevolkingsgroep
benzineprijs , prijs
Isfahan , moederstad
uitrijden , afronden
boedelverdeling , deling
gangmaker , zwelger
Dneprodzerzhinsk , moederstad
wandelen , verplaatsen
boekje , publikatie
tamtam , slaginstrument
incriminatie , reclame
vizier , functionaris
jassen , afpellen
opwekken , aandrijven
koffieblad , theeblad
opdrinken , drinken
hymen , vlies
rekensom , exercitie
rhodium , chemisch element
voorland , gebied
havermoutpap , havermoutpap
initiëren , assimileren
zendingsgenootschap , groep
bariton , zich bescheuren
sporter , sportuitrusting
wegsturen , wegnemen
afvoerbuis , leiding
Hondurees , onderdaan
bloembed , tuinbed
TM , meditatie
kansel , ding
inktzwam , plaatzwam
deeltjesfysica , natuurkunde
onschuld , toestand
zaak , bijhuis
ondergaan , beleven
nasmaak , nabeeld
asiel , schuilplaats
oligarch , heerser
huishoudtrap , ladder
gaasdoek , textiel
grafgraver , arbeider
kisten , zetten
hydroplaan , toestel
zicht , waarneming
vrijster , jongedame
kam , apparaat
babysitter , oppasser
staatsgreep , actie
Maas , stroom
bergen , bevatten
zend-ontvangapparaat , telefoon
schoot , gedeelte
hamerteen , kom nou
fotokopieerapparaat , apparaat
bedrijfspluimvee , gevogelte
gat , plaats
kostwinner , kostwinner
kontzak , zak
terugroepen , roepen
samenvoegen , veranderen
kaasdoek , weefsel
woongedeelte , huisvesting
begraven , wegschuilen
stee , plek
doorzakken , drinken
vide , leegte
dichttrekken , dichtdoen
HAVO , instelling
genoeg benadrukken , oppijpen
rassenvermenging , vermenigvuldiging
wegblokkade , obstructie
baret , speldje
aanhangen , steunen
kolenmijn , werkplaats
rondweg , baan
potentaat , figuur
kanttekening , annotatie
compositie , mixture
twinstigste , rang
koetje-boe , runderachtigen
wil , faculteit
bagatelliseren , verzwakken
dienstbaarheid , positie
vredesproces , proces
restant , overschot
luchtdoelraket , wapen
inkt , vloeistof
geraamte , draagconstructie
personele belasting , capitatie
motet , toonzetting
rodehond , ziekte
Oost-Vlaanderen , district
spetter , figuur
toegankelijkheid , bereikbaarheid
ganzenpas , paradepas
dochtermaatschappij , vennootschap
flutter , beweging
oplepelen , geven
training , work out
buitenvrouw , tante
ravage , schade
ondersteuning , muziekstuk
wangedrag , wangedrag
kruiwagen , skelter
spaan , gereedschap
schrijver op dictaat , figuur
luierik , figuur
sleutelbloem , kruid
opstandigheid , oppositie
traiteur , cuisinier
schommelen , veranderen
dozijn , getal
ingang , stonde
mobilhome , motorvoertuig
melaatse , zieke
bevrijden , winnen
vlucht , zwerm
oorlogshandeling , gewelddadigheid
feminisme , doel
regenwoud , bosje
restrictie , ordonnantie
bad , verbinding
werknemersorganisatie , vakcentrale
pretentie , onnatuurlijkheid
doorvechten , blijven
deelverzameling , gedeelte
krachtbron , bron
instructeur , frik
opruiming , beurt
bergketen , landje
thuispagina , webpagina
reactiesnelheid , vaart
boog , bouwwerk
kalen , achteruitgaan
honderdste , kwantiteit
straal , vibratie
sparen , voortbewegen
ladder , podium
Pinter , toneelschrijver
Zuid-Hollander , ingezetene
Aden , moederstad
dekking , bezigheid
collegekaart , legitimatiekaart
mimiek , uitdrukking
slipje , broekje
zaagvis , vis
vertier , bezigheid
spoiler , vleugel
opbergen , zetten
klaverblad , aansluiting
verwondering , gemoedsbeweging
schurk , vogelvrije
miljoenenstad , moederstad
viltje , onderzetter
teratogenese , ontogenese
returnmatch , herhaling
afstrepen , tonen
toegangsgeld , vacatie
academie , constructie
schreefloos , schrift
deling , gedeelte
sierplant , organisme
babysit , zorg
kamer , samenkomst
kabeltouw , touw
tabak , zichtbaar bloeiende planten
schoorsteenplaat , orgelregister
Noorman , Scandinaviër
relativiteitstheorie , evangelie
residentie , verblijf
klasseren , verklaren
prentenboek , boekje
tacticus , figuur
benzinepomp , pomp
zeeëgel , gedierte
sanctie , steunbetuiging
corps , vereniging
pluimen , belazeren
afzweerder , figuur
geldwolf , figuur
logen , bewerken
waterstaat , wegrestaurant
bedgenoot , figuur
hutkoffer , valies
volksheld , heldin
verkeer , verplaatsing
vlam , vlam
vin , etterblaasje
gevechtshandeling , gewelddadigheid
nuancering , zuivering
linkerbovenhoek , hoekje
passement , franje
omvallen , zakken
beteugelen , stoppen
